cuda:0 is available
start
is_continuous: False
n_episode: 2000
max_episode_steps: 1000
action_space Discrete(5)
The shape of an observation:  (4, 84, 84)
the shape of action_space: 5
n_episode :204, score : -1.373, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :205, score : -1.136, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :206, score : -1.155, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :207, score : -1.016, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :208, score : -1.277, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :209, score : -1.459, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :210, score : -0.857, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :211, score : -1.118, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :212, score : -0.813, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :213, score : -1.330, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :214, score : -1.188, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :215, score : -1.372, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :216, score : -1.340, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :217, score : -1.091, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :218, score : -1.290, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :219, score : -1.321, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :220, score : -0.855, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :221, score : -0.986, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :222, score : -1.187, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :223, score : -1.149, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :224, score : -1.117, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :225, score : -1.110, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :226, score : -1.150, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :227, score : -1.221, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :228, score : -1.257, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :229, score : -1.030, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :230, score : -1.378, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
